ID,Name,Epoch,a,e,i,w,Node,M,q,Q,P,H,MOID,ref,class,ID2,Name2
2009,VJ24,55148,1.81491328,0.479434046,11.2897908,57.4641588,37.0614704,342.0199910,0.9448,2.69,2.45,22.10,0.066952,8,APO,2009,VJ24
2009,VK24,55146,1.75655594,0.411752151,5.4927222,44.8967341,27.1281604,350.8172476,1.0333,2.48,2.33,24.10,0.073534,5,AMO,2009,VK24
2009,VL24,55147,1.85108043,0.577568836,1.9341551,312.8694578,16.9816911,22.8484646,0.7820,2.92,2.52,24.40,0.010418,7,APO,2009,VL24
2009,VM24,57400,1.11445144,0.232254999,11.6478925,88.6337738,46.4535433,28.0020427,0.8556,1.37,1.18,26.60,0.033900,5,APO,2009,VM24
2009,VQ25,55146,1.70885872,0.524424479,61.8994466,6.1829502,13.9112716,9.2886325,0.8127,2.61,2.23,18.60,0.184860,5,APO,2009,VQ25
2009,VR25,55148,1.50031742,0.455579040,4.0438067,79.8012833,39.6050877,330.3571873,0.8168,2.18,1.84,23.40,0.019122,8,APO,2009,VR25
2009,VS25,57400,0.97073631,0.280837891,5.3220241,315.5744339,226.5219280,54.0042873,0.6981,1.24,0.96,24.40,0.038928,8,ATE,2009,VS25
2009,VY25,57400,2.32713684,0.483135953,4.3345298,28.3664758,295.6299221,302.8706468,1.2028,3.45,3.55,19.20,0.192134,8,AMO,2009,VY25
2009,VZ25,57400,2.84595264,0.588643618,2.1791884,172.5531292,248.9636500,99.4719914,1.1707,4.52,4.80,23.70,0.182828,11,AMO,2009,VZ25
2009,VA26,57400,1.51297417,0.383750402,38.9466225,307.4440270,230.7418508,28.3957808,0.9324,2.09,1.86,20.70,0.032933,18,APO,2009,VA26
2009,VZ39,55145,1.48277532,0.382428857,2.5215102,40.8053116,52.5166196,339.7893868,0.9157,2.05,1.81,28.07,0.001721,8,APO,2009,VZ39
2009,VP44,55150,2.50646628,0.597928631,21.4179836,195.3151748,231.2932860,357.1892218,1.0078,4.01,3.97,25.90,0.030964,5,APO,2009,VP44
2009,VQ44,55154,1.34409823,0.726448005,29.7893610,237.9190491,46.7808664,35.3003025,0.3677,2.32,1.56,21.90,0.018663,9,APO,2009,VQ44
2009,VR44,55155,1.84273327,0.479725856,7.3501635,313.6907127,55.2580766,16.3714820,0.9587,2.73,2.50,25.00,0.035506,7,APO,2009,VR44
2009,VS44,57400,1.58074337,0.421211526,9.8090183,311.0599261,51.8664832,54.5859813,0.9149,2.25,1.99,25.50,0.015816,8,APO,2009,VS44
2009,WA,57400,1.13565948,0.144752647,29.8418471,71.1433111,47.5594501,334.5076748,0.9713,1.30,1.21,21.20,0.069151,18,APO,2009,WA
2009,WB,57400,1.65897898,0.391559786,12.3876712,337.5125569,57.2756896,324.4800200,1.0094,2.31,2.14,24.20,0.037754,14,APO,2009,WB
2009,WC,57400,1.48464454,0.353027955,5.3341093,37.2215640,54.6616448,127.4245323,0.9605,2.01,1.81,27.70,0.013867,6,APO,2009,WC
2009,WD,57400,1.83336226,0.314311486,41.2154162,342.9421212,35.3969382,183.0437985,1.2571,2.41,2.48,20.40,0.274002,20,AMO,2009,WD
2009,WE,57400,1.55045750,0.378841077,29.0763911,72.0777534,51.8708996,32.3066403,0.9631,2.14,1.93,22.30,0.165884,10,APO,2009,WE
2009,WF,57400,1.38516611,0.328646782,15.8045354,76.6095757,269.1565690,321.7389426,0.9299,1.84,1.63,19.80,0.087819,32,APO,2009,WF
2009,WJ1,57400,2.46672850,0.674127659,0.6168950,194.6999614,276.9140224,198.3095723,0.8038,4.13,3.87,21.20,0.007327,14,APO,2009,WJ1
2009,WK1,57400,1.60152252,0.366915260,3.2742565,195.8659153,233.4628833,7.5971225,1.0139,2.19,2.03,27.20,0.029569,7,APO,2009,WK1
2009,WL1,57400,1.78615764,0.335136733,29.0130127,322.9710006,65.0225270,227.1800798,1.1876,2.38,2.39,18.50,0.249001,28,AMO,2009,WL1
2009,WM1,57400,1.18056974,0.169018625,25.7647105,162.5843858,240.2827681,302.6544012,0.9810,1.38,1.28,20.40,0.000480,27,APO,2009,WM1
2009,WJ6,57400,1.76729899,0.633239577,5.0426555,263.0173888,238.7262824,202.0074303,0.6482,2.89,2.35,27.40,0.000886,7,APO,2009,WJ6
2009,WK6,57400,2.36229904,0.599900682,6.7249932,89.0435332,254.9409489,275.7170482,0.9452,3.78,3.63,19.20,0.092742,15,APO,2009,WK6
2009,WL6,57400,2.72818314,0.564712223,13.5055193,1.3727209,23.7769191,132.3752287,1.1875,4.27,4.51,20.20,0.190077,9,AMO,2009,WL6
2009,WM6,55154,1.05730233,0.346533759,19.8922719,66.1691041,231.3941347,74.4687916,0.6909,1.42,1.09,23.80,0.059844,6,APO,2009,WM6
2009,WN6,57400,1.59272940,0.390212452,0.7381749,317.6739592,57.2636427,41.7541686,0.9712,2.21,2.01,24.70,0.004150,7,APO,2009,WN6
2009,WO6,57400,3.08649643,0.581494450,28.7600832,30.4406439,76.2210491,30.3725383,1.2917,4.88,5.42,17.40,0.351147,32,AMO,2009,WO6
2009,WP6,55154,1.13115488,0.741564031,2.7777410,227.9489469,54.4648226,41.1800018,0.2923,1.97,1.20,26.80,0.000967,6,APO,2009,WP6
2009,WQ6,57400,0.86657824,0.408632897,5.8169203,227.3600187,55.6044027,315.0531918,0.5125,1.22,0.81,29.20,0.002018,5,ATE,2009,WQ6
2009,WX6,55156,1.75894673,0.541949344,1.4016263,332.6977985,13.4741417,21.7047427,0.8057,2.71,2.33,23.90,0.013775,11,APO,2009,WX6
2009,WD7,55156,2.41462117,0.593084611,1.0731086,104.4189714,274.6278435,8.7212877,0.9825,3.85,3.75,25.70,0.016271,8,APO,2009,WD7
2009,WG7,55155,1.24151702,0.254087317,3.3496704,292.1912398,61.6176256,39.6682348,0.9261,1.56,1.38,26.60,0.019021,6,APO,2009,WG7
2009,WV7,57400,1.46399339,0.315772187,3.6555763,34.2912410,47.7614947,156.5203477,1.0017,1.93,1.77,25.90,0.031341,8,APO,2009,WV7
2009,WW7,57400,1.09071513,0.261671450,2.5238928,273.7406333,57.1644594,199.9426969,0.8053,1.38,1.14,28.90,0.001595,7,APO,2009,WW7
2009,WX7,57400,1.80748714,0.457251907,2.9197632,336.6319028,60.1612011,197.3830146,0.9810,2.63,2.43,26.90,0.007248,8,APO,2009,WX7
2009,WY7,57400,0.64988431,0.608110985,4.0054565,172.2937697,64.1200040,89.9029859,0.2547,1.05,0.52,24.10,0.009839,11,ATE,2009,WY7
2009,WZ7,57400,1.93703468,0.689723306,20.6831942,250.3899263,76.6445496,124.5906521,0.6010,3.27,2.70,19.80,0.103907,14,APO,2009,WZ7
2009,WM8,55154,1.81988498,0.443656406,14.0495844,181.5628231,237.2101694,0.1820158,1.0125,2.63,2.46,24.80,0.024334,6,APO,2009,WM8
2009,WN8,57400,0.84814742,0.357924477,12.7603911,220.6499653,58.6919343,58.3985673,0.5446,1.15,0.78,25.20,0.014412,7,ATE,2009,WN8
